method	numPRD	N	alpha	beta	MAP
lmjm_0.4_rocchio	35	200	1	15	0.2794
lmjm_0.4_rocchio	35	210	1	15	0.279
lmjm_0.4_rocchio	35	220	1	15	0.279
lmjm_0.4_rocchio	35	230	1	15	0.2785
lmjm_0.4_rocchio	35	240	1	15	0.2785
lmjm_0.4_rocchio	35	250	1	15	0.2791
lmjm_0.4_rocchio	35	260	1	15	0.2792
lmjm_0.4_rocchio	35	270	1	15	0.2798
lmjm_0.4_rocchio	35	280	1	15	0.2798
lmjm_0.4_rocchio	35	290	1	15	0.2789
lmjm_0.4_rocchio	35	300	1	15	0.2786
lmjm_0.4_rocchio	35	50	1	45	0.2808
lmjm_0.4_rocchio	35	60	1	45	0.2802
lmjm_0.4_rocchio	35	70	1	45	0.2815
lmjm_0.4_rocchio	35	80	1	45	0.2817
lmjm_0.4_rocchio	35	90	1	45	0.2804
lmjm_0.4_rocchio	35	100	1	45	0.2811
lmjm_0.4_rocchio	35	110	1	45	0.2811
lmjm_0.4_rocchio	35	120	1	45	0.2806
lmjm_0.4_rocchio	35	130	1	45	0.2798
lmjm_0.4_rocchio	35	140	1	45	0.2797
lmjm_0.4_rocchio	35	150	1	45	0.2811
lmjm_0.4_rocchio	35	160	1	45	0.2795
lmjm_0.4_rocchio	35	170	1	45	0.2798
lmjm_0.4_rocchio	35	180	1	45	0.2798
lmjm_0.4_rocchio	35	50	1	10	0.2796
lmjm_0.4_rocchio	35	50	1	20	0.2802
lmjm_0.4_rocchio	35	50	1	25	0.2805
lmjm_0.4_rocchio	35	50	1	30	0.2819
lmjm_0.4_rocchio	35	50	1	35	0.2819
lmjm_0.4_rocchio	35	50	1	40	0.2819
lmjm_0.4_rocchio	35	50	1	45	0.2808
lmjm_0.4_rocchio	35	50	1	50	0.2802
lmjm_0.4_rocchio	35	50	1	55	0.2801
lmjm_0.4_rocchio	35	50	1	60	0.2795
lmjm_0.4_rocchio	35	50	1	70	0.2788
lmjm_0.4_rocchio	35	120	1	10	0.2822
lmjm_0.4_rocchio	35	120	1	20	0.283
lmjm_0.4_rocchio	35	120	1	25	0.2828
lmjm_0.4_rocchio	35	120	1	30	0.2825
lmjm_0.4_rocchio	35	120	1	35	0.282
lmjm_0.4_rocchio	35	120	1	40	0.2815
lmjm_0.4_rocchio	35	120	1	45	0.2806
lmjm_0.4_rocchio	35	120	1	50	0.2802
lmjm_0.4_rocchio	35	120	1	55	0.2801
lmjm_0.4_rocchio	35	120	1	60	0.2792
lmjm_0.4_rocchio	35	120	1	70	0.2777
lmjm_0.4_rocchio	35	120	1	8	0.2799
lmjm_0.4_rocchio	35	120	1	5	0.2735
lmjm_0.4_rocchio	35	120	1	2	0.2544
lmjm_0.4_rocchio	35	120	1	1	0.2437
lmjm_0.4_rocchio	35	120	1	15	0.2814
