method	numPRD	N	alpha	beta	MAP
lmjm_0.4_rocchio_TFIDF	30	115	1.0	20.0	0.2819
lmjm_0.4_rocchio_TFIDF	30	115	1.0	22.5	0.2799
lmjm_0.4_rocchio_TFIDF	30	115	1.0	25.0	0.2792
lmjm_0.4_rocchio_TFIDF	30	115	1.0	27.5	0.279
lmjm_0.4_rocchio_TFIDF	30	115	1.0	30.0	0.2792
lmjm_0.4_rocchio_TFIDF	30	115	1.0	32.5	0.2795
lmjm_0.4_rocchio_TFIDF	30	115	1.0	35.0	0.2797
lmjm_0.4_rocchio_TFIDF	30	115	1.0	37.5	0.2794
lmjm_0.4_rocchio_TFIDF	30	115	1.0	40.0	0.2795
lmjm_0.4_rocchio_TFIDF	30	115	1.0	42.5	0.279
lmjm_0.4_rocchio_TFIDF	30	115	1.0	45.0	0.2788
lmjm_0.4_rocchio_TFIDF	30	120	1.0	5.0	0.2714
lmjm_0.4_rocchio_TFIDF	30	120	1.0	10.0	0.2763
lmjm_0.4_rocchio_TFIDF	30	120	1.0	15.0	0.28
lmjm_0.4_rocchio_TFIDF	30	120	1.0	17.5	0.2812
lmjm_0.4_rocchio_TFIDF	30	120	1.0	20.0	0.2818
lmjm_0.4_rocchio_TFIDF	30	120	1.0	22.5	0.2823
lmjm_0.4_rocchio_TFIDF	30	120	1.0	25.0	0.2799
lmjm_0.4_rocchio_TFIDF	30	120	1.0	27.5	0.2789
lmjm_0.4_rocchio_TFIDF	30	120	1.0	30.0	0.2791
lmjm_0.4_rocchio_TFIDF	30	120	1.0	32.5	0.2792
lmjm_0.4_rocchio_TFIDF	30	120	1.0	35.0	0.2794
lmjm_0.4_rocchio_TFIDF	30	120	1.0	37.5	0.2791
lmjm_0.4_rocchio_TFIDF	30	120	1.0	40.0	0.279
lmjm_0.4_rocchio_TFIDF	30	120	1.0	42.5	0.2786
lmjm_0.4_rocchio_TFIDF	30	120	1.0	45.0	0.2786
lmjm_0.4_rocchio_TFIDF	30	125	1.0	5.0	0.2715
lmjm_0.4_rocchio_TFIDF	30	125	1.0	10.0	0.2766
lmjm_0.4_rocchio_TFIDF	30	125	1.0	15.0	0.28
lmjm_0.4_rocchio_TFIDF	30	125	1.0	17.5	0.281
lmjm_0.4_rocchio_TFIDF	30	125	1.0	20.0	0.2823
lmjm_0.4_rocchio_TFIDF	30	125	1.0	22.5	0.2824
lmjm_0.4_rocchio_TFIDF	30	125	1.0	25.0	0.2827
lmjm_0.4_rocchio_TFIDF	30	125	1.0	27.5	0.2799
lmjm_0.4_rocchio_TFIDF	30	125	1.0	30.0	0.2793
lmjm_0.4_rocchio_TFIDF	30	125	1.0	32.5	0.2796
lmjm_0.4_rocchio_TFIDF	30	125	1.0	35.0	0.2798
lmjm_0.4_rocchio_TFIDF	30	125	1.0	37.5	0.2795
lmjm_0.4_rocchio_TFIDF	30	125	1.0	40.0	0.2791
lmjm_0.4_rocchio_TFIDF	30	125	1.0	42.5	0.2786
lmjm_0.4_rocchio_TFIDF	30	125	1.0	45.0	0.2785
lmjm_0.4_rocchio_TFIDF	30	130	1.0	5.0	0.2713
lmjm_0.4_rocchio_TFIDF	30	130	1.0	10.0	0.2765
lmjm_0.4_rocchio_TFIDF	30	130	1.0	15.0	0.2796
lmjm_0.4_rocchio_TFIDF	30	130	1.0	17.5	0.2806
lmjm_0.4_rocchio_TFIDF	30	130	1.0	20.0	0.2816
lmjm_0.4_rocchio_TFIDF	30	130	1.0	22.5	0.2817
lmjm_0.4_rocchio_TFIDF	30	130	1.0	25.0	0.282
lmjm_0.4_rocchio_TFIDF	30	130	1.0	27.5	0.2796
lmjm_0.4_rocchio_TFIDF	30	130	1.0	30.0	0.2789
lmjm_0.4_rocchio_TFIDF	30	130	1.0	32.5	0.279
lmjm_0.4_rocchio_TFIDF	30	130	1.0	35.0	0.2792
lmjm_0.4_rocchio_TFIDF	30	130	1.0	37.5	0.2788
lmjm_0.4_rocchio_TFIDF	30	130	1.0	40.0	0.2786
lmjm_0.4_rocchio_TFIDF	30	130	1.0	42.5	0.2784
lmjm_0.4_rocchio_TFIDF	30	130	1.0	45.0	0.2783
lmjm_0.4_rocchio_TFIDF	30	135	1.0	5.0	0.2711
lmjm_0.4_rocchio_TFIDF	30	135	1.0	10.0	0.2764
lmjm_0.4_rocchio_TFIDF	30	135	1.0	15.0	0.2794
lmjm_0.4_rocchio_TFIDF	30	135	1.0	17.5	0.2801
lmjm_0.4_rocchio_TFIDF	30	135	1.0	20.0	0.2811
lmjm_0.4_rocchio_TFIDF	30	135	1.0	22.5	0.2813
lmjm_0.4_rocchio_TFIDF	30	135	1.0	25.0	0.2818
lmjm_0.4_rocchio_TFIDF	30	135	1.0	27.5	0.2793
lmjm_0.4_rocchio_TFIDF	30	135	1.0	30.0	0.2785
lmjm_0.4_rocchio_TFIDF	30	135	1.0	32.5	0.2786
lmjm_0.4_rocchio_TFIDF	30	135	1.0	35.0	0.2785
lmjm_0.4_rocchio_TFIDF	30	135	1.0	37.5	0.2784
lmjm_0.4_rocchio_TFIDF	30	135	1.0	40.0	0.2779
lmjm_0.4_rocchio_TFIDF	30	135	1.0	42.5	0.2778
lmjm_0.4_rocchio_TFIDF	30	135	1.0	45.0	0.2775
lmjm_0.4_rocchio_TFIDF	30	140	1.0	5.0	0.271
lmjm_0.4_rocchio_TFIDF	30	140	1.0	10.0	0.2759
lmjm_0.4_rocchio_TFIDF	30	140	1.0	15.0	0.2793
lmjm_0.4_rocchio_TFIDF	30	140	1.0	17.5	0.28
lmjm_0.4_rocchio_TFIDF	30	140	1.0	20.0	0.281
lmjm_0.4_rocchio_TFIDF	30	140	1.0	22.5	0.2812
lmjm_0.4_rocchio_TFIDF	30	140	1.0	25.0	0.2817
lmjm_0.4_rocchio_TFIDF	30	140	1.0	27.5	0.2814
lmjm_0.4_rocchio_TFIDF	30	140	1.0	30.0	0.2818
lmjm_0.4_rocchio_TFIDF	30	140	1.0	32.5	0.2818
lmjm_0.4_rocchio_TFIDF	30	140	1.0	35.0	0.2819
lmjm_0.4_rocchio_TFIDF	30	140	1.0	37.5	0.2792
lmjm_0.4_rocchio_TFIDF	30	140	1.0	40.0	0.2778
lmjm_0.4_rocchio_TFIDF	30	140	1.0	42.5	0.2776
lmjm_0.4_rocchio_TFIDF	30	140	1.0	45.0	0.2777
lmjm_0.4_rocchio_TFIDF	30	150	1.0	5.0	0.2715
lmjm_0.4_rocchio_TFIDF	30	150	1.0	10.0	0.2762
lmjm_0.4_rocchio_TFIDF	30	150	1.0	15.0	0.2792
lmjm_0.4_rocchio_TFIDF	30	150	1.0	17.5	0.2801
lmjm_0.4_rocchio_TFIDF	30	150	1.0	20.0	0.2809
lmjm_0.4_rocchio_TFIDF	30	150	1.0	22.5	0.2812
lmjm_0.4_rocchio_TFIDF	30	150	1.0	25.0	0.2808
lmjm_0.4_rocchio_TFIDF	30	150	1.0	27.5	0.2808
lmjm_0.4_rocchio_TFIDF	30	150	1.0	30.0	0.2816
lmjm_0.4_rocchio_TFIDF	30	150	1.0	32.5	0.2815
lmjm_0.4_rocchio_TFIDF	30	150	1.0	35.0	0.2816
lmjm_0.4_rocchio_TFIDF	30	150	1.0	37.5	0.2789
lmjm_0.4_rocchio_TFIDF	30	150	1.0	40.0	0.2784
lmjm_0.4_rocchio_TFIDF	30	150	1.0	42.5	0.2782
lmjm_0.4_rocchio_TFIDF	30	150	1.0	45.0	0.2779
lmjm_0.4_rocchio_TFIDF	30	160	1.0	5.0	0.2716
lmjm_0.4_rocchio_TFIDF	30	160	1.0	10.0	0.2765
lmjm_0.4_rocchio_TFIDF	30	160	1.0	15.0	0.2797
lmjm_0.4_rocchio_TFIDF	30	160	1.0	17.5	0.2804
lmjm_0.4_rocchio_TFIDF	30	160	1.0	20.0	0.2807
lmjm_0.4_rocchio_TFIDF	30	160	1.0	22.5	0.2814
lmjm_0.4_rocchio_TFIDF	30	160	1.0	25.0	0.281
lmjm_0.4_rocchio_TFIDF	30	160	1.0	27.5	0.2811
lmjm_0.4_rocchio_TFIDF	30	160	1.0	30.0	0.2817
lmjm_0.4_rocchio_TFIDF	30	160	1.0	32.5	0.2817
lmjm_0.4_rocchio_TFIDF	30	160	1.0	35.0	0.2791
lmjm_0.4_rocchio_TFIDF	30	160	1.0	37.5	0.279
lmjm_0.4_rocchio_TFIDF	30	160	1.0	40.0	0.2787
lmjm_0.4_rocchio_TFIDF	30	160	1.0	42.5	0.2783
lmjm_0.4_rocchio_TFIDF	30	160	1.0	45.0	0.2771
lmjm_0.4_rocchio_TFIDF	35	50	1.0	5.0	0.2693
lmjm_0.4_rocchio_TFIDF	35	50	1.0	15.0	0.2787
lmjm_0.4_rocchio_TFIDF	35	50	1.0	17.5	0.2789
lmjm_0.4_rocchio_TFIDF	35	50	1.0	20.0	0.2802
lmjm_0.4_rocchio_TFIDF	35	50	1.0	22.5	0.281
lmjm_0.4_rocchio_TFIDF	35	50	1.0	25.0	0.2805
lmjm_0.4_rocchio_TFIDF	35	50	1.0	27.5	0.2811
lmjm_0.4_rocchio_TFIDF	35	50	1.0	30.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	50	1.0	32.5	0.2822
lmjm_0.4_rocchio_TFIDF	35	50	1.0	35.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	50	1.0	37.5	0.2821
lmjm_0.4_rocchio_TFIDF	35	50	1.0	40.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	50	1.0	42.5	0.2812
lmjm_0.4_rocchio_TFIDF	35	50	1.0	45.0	0.2808
lmjm_0.4_rocchio_TFIDF	35	50	1.0	47.5	0.2803
lmjm_0.4_rocchio_TFIDF	35	50	1.0	50.0	0.2802
lmjm_0.4_rocchio_TFIDF	35	50	1.0	52.5	0.2803
lmjm_0.4_rocchio_TFIDF	35	60	1.0	5.0	0.2703
lmjm_0.4_rocchio_TFIDF	35	60	1.0	15.0	0.2788
lmjm_0.4_rocchio_TFIDF	35	60	1.0	17.5	0.2795
lmjm_0.4_rocchio_TFIDF	35	60	1.0	20.0	0.2806
lmjm_0.4_rocchio_TFIDF	35	60	1.0	22.5	0.2808
lmjm_0.4_rocchio_TFIDF	35	60	1.0	25.0	0.281
lmjm_0.4_rocchio_TFIDF	35	60	1.0	27.5	0.281
lmjm_0.4_rocchio_TFIDF	35	60	1.0	30.0	0.2815
lmjm_0.4_rocchio_TFIDF	35	60	1.0	32.5	0.2814
lmjm_0.4_rocchio_TFIDF	35	60	1.0	35.0	0.2813
lmjm_0.4_rocchio_TFIDF	35	60	1.0	37.5	0.2807
lmjm_0.4_rocchio_TFIDF	35	60	1.0	40.0	0.281
lmjm_0.4_rocchio_TFIDF	35	60	1.0	42.5	0.2806
lmjm_0.4_rocchio_TFIDF	35	60	1.0	45.0	0.2802
lmjm_0.4_rocchio_TFIDF	35	60	1.0	50.0	0.2797
lmjm_0.4_rocchio_TFIDF	35	65	1.0	5.0	0.2703
lmjm_0.4_rocchio_TFIDF	35	65	1.0	15.0	0.2791
lmjm_0.4_rocchio_TFIDF	35	65	1.0	17.5	0.2798
lmjm_0.4_rocchio_TFIDF	35	65	1.0	20.0	0.2811
lmjm_0.4_rocchio_TFIDF	35	65	1.0	22.5	0.281
lmjm_0.4_rocchio_TFIDF	35	65	1.0	25.0	0.2812
lmjm_0.4_rocchio_TFIDF	35	65	1.0	27.5	0.2818
lmjm_0.4_rocchio_TFIDF	35	65	1.0	30.0	0.2816
lmjm_0.4_rocchio_TFIDF	35	65	1.0	32.5	0.2813
lmjm_0.4_rocchio_TFIDF	35	65	1.0	35.0	0.2813
lmjm_0.4_rocchio_TFIDF	35	65	1.0	37.5	0.2811
lmjm_0.4_rocchio_TFIDF	35	65	1.0	40.0	0.2804
lmjm_0.4_rocchio_TFIDF	35	65	1.0	42.5	0.2802
lmjm_0.4_rocchio_TFIDF	35	65	1.0	45.0	0.2801
lmjm_0.4_rocchio_TFIDF	35	65	1.0	50.0	0.2795
lmjm_0.4_rocchio_TFIDF	35	70	1.0	5.0	0.2726
lmjm_0.4_rocchio_TFIDF	35	70	1.0	15.0	0.2795
lmjm_0.4_rocchio_TFIDF	35	70	1.0	17.5	0.2805
lmjm_0.4_rocchio_TFIDF	35	70	1.0	20.0	0.2811
lmjm_0.4_rocchio_TFIDF	35	70	1.0	22.5	0.2823
lmjm_0.4_rocchio_TFIDF	35	70	1.0	25.0	0.2822
lmjm_0.4_rocchio_TFIDF	35	70	1.0	27.5	0.2823
lmjm_0.4_rocchio_TFIDF	35	70	1.0	30.0	0.2824
lmjm_0.4_rocchio_TFIDF	35	70	1.0	32.5	0.2826
lmjm_0.4_rocchio_TFIDF	35	70	1.0	35.0	0.2828
lmjm_0.4_rocchio_TFIDF	35	70	1.0	37.5	0.2824
lmjm_0.4_rocchio_TFIDF	35	70	1.0	40.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	70	1.0	42.5	0.2819
lmjm_0.4_rocchio_TFIDF	35	70	1.0	45.0	0.2815
lmjm_0.4_rocchio_TFIDF	35	70	1.0	50.0	0.2803
lmjm_0.4_rocchio_TFIDF	35	75	1.0	5.0	0.273
lmjm_0.4_rocchio_TFIDF	35	75	1.0	15.0	0.2797
lmjm_0.4_rocchio_TFIDF	35	75	1.0	17.5	0.2808
lmjm_0.4_rocchio_TFIDF	35	75	1.0	20.0	0.2814
lmjm_0.4_rocchio_TFIDF	35	75	1.0	22.5	0.2824
lmjm_0.4_rocchio_TFIDF	35	75	1.0	25.0	0.2823
lmjm_0.4_rocchio_TFIDF	35	75	1.0	27.5	0.283
lmjm_0.4_rocchio_TFIDF	35	75	1.0	30.0	0.283
lmjm_0.4_rocchio_TFIDF	35	75	1.0	32.5	0.2833
lmjm_0.4_rocchio_TFIDF	35	75	1.0	35.0	0.2831
lmjm_0.4_rocchio_TFIDF	35	75	1.0	37.5	0.2829
lmjm_0.4_rocchio_TFIDF	35	75	1.0	40.0	0.2825
lmjm_0.4_rocchio_TFIDF	35	75	1.0	42.5	0.2823
lmjm_0.4_rocchio_TFIDF	35	75	1.0	45.0	0.2818
lmjm_0.4_rocchio_TFIDF	35	75	1.0	50.0	0.2807
lmjm_0.4_rocchio_TFIDF	35	80	1.0	5.0	0.273
lmjm_0.4_rocchio_TFIDF	35	80	1.0	15.0	0.28
lmjm_0.4_rocchio_TFIDF	35	80	1.0	17.5	0.2812
lmjm_0.4_rocchio_TFIDF	35	80	1.0	20.0	0.2814
lmjm_0.4_rocchio_TFIDF	35	80	1.0	22.5	0.2818
lmjm_0.4_rocchio_TFIDF	35	80	1.0	25.0	0.2815
lmjm_0.4_rocchio_TFIDF	35	80	1.0	27.5	0.2821
lmjm_0.4_rocchio_TFIDF	35	80	1.0	30.0	0.2827
lmjm_0.4_rocchio_TFIDF	35	80	1.0	32.5	0.2828
lmjm_0.4_rocchio_TFIDF	35	80	1.0	35.0	0.2823
lmjm_0.4_rocchio_TFIDF	35	80	1.0	37.5	0.2817
lmjm_0.4_rocchio_TFIDF	35	80	1.0	40.0	0.2823
lmjm_0.4_rocchio_TFIDF	35	80	1.0	42.5	0.2821
lmjm_0.4_rocchio_TFIDF	35	80	1.0	45.0	0.2817
lmjm_0.4_rocchio_TFIDF	35	80	1.0	50.0	0.2807
lmjm_0.4_rocchio_TFIDF	35	85	1.0	5.0	0.2733
lmjm_0.4_rocchio_TFIDF	35	85	1.0	15.0	0.28
lmjm_0.4_rocchio_TFIDF	35	85	1.0	17.5	0.2818
lmjm_0.4_rocchio_TFIDF	35	85	1.0	20.0	0.2822
lmjm_0.4_rocchio_TFIDF	35	85	1.0	22.5	0.2827
lmjm_0.4_rocchio_TFIDF	35	85	1.0	25.0	0.2829
lmjm_0.4_rocchio_TFIDF	35	85	1.0	27.5	0.2826
lmjm_0.4_rocchio_TFIDF	35	85	1.0	30.0	0.2832
lmjm_0.4_rocchio_TFIDF	35	85	1.0	32.5	0.2829
lmjm_0.4_rocchio_TFIDF	35	85	1.0	35.0	0.2824
lmjm_0.4_rocchio_TFIDF	35	85	1.0	37.5	0.282
lmjm_0.4_rocchio_TFIDF	35	85	1.0	40.0	0.2818
lmjm_0.4_rocchio_TFIDF	35	85	1.0	42.5	0.2813
lmjm_0.4_rocchio_TFIDF	35	85	1.0	45.0	0.2813
lmjm_0.4_rocchio_TFIDF	35	85	1.0	50.0	0.2808
lmjm_0.4_rocchio_TFIDF	35	90	1.0	5.0	0.2736
lmjm_0.4_rocchio_TFIDF	35	90	1.0	15.0	0.2802
lmjm_0.4_rocchio_TFIDF	35	90	1.0	17.5	0.2815
lmjm_0.4_rocchio_TFIDF	35	90	1.0	20.0	0.2818
lmjm_0.4_rocchio_TFIDF	35	90	1.0	22.5	0.2822
lmjm_0.4_rocchio_TFIDF	35	90	1.0	25.0	0.2822
lmjm_0.4_rocchio_TFIDF	35	90	1.0	27.5	0.2821
lmjm_0.4_rocchio_TFIDF	35	90	1.0	30.0	0.2825
lmjm_0.4_rocchio_TFIDF	35	90	1.0	32.5	0.2822
lmjm_0.4_rocchio_TFIDF	35	90	1.0	35.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	90	1.0	37.5	0.2813
lmjm_0.4_rocchio_TFIDF	35	90	1.0	40.0	0.2813
lmjm_0.4_rocchio_TFIDF	35	90	1.0	42.5	0.2807
lmjm_0.4_rocchio_TFIDF	35	90	1.0	45.0	0.2804
lmjm_0.4_rocchio_TFIDF	35	90	1.0	50.0	0.2798
lmjm_0.4_rocchio_TFIDF	35	95	1.0	5.0	0.2721
lmjm_0.4_rocchio_TFIDF	35	95	1.0	15.0	0.2802
lmjm_0.4_rocchio_TFIDF	35	95	1.0	17.5	0.2815
lmjm_0.4_rocchio_TFIDF	35	95	1.0	20.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	95	1.0	22.5	0.2822
lmjm_0.4_rocchio_TFIDF	35	95	1.0	25.0	0.2824
lmjm_0.4_rocchio_TFIDF	35	95	1.0	27.5	0.2822
lmjm_0.4_rocchio_TFIDF	35	95	1.0	30.0	0.2822
lmjm_0.4_rocchio_TFIDF	35	95	1.0	32.5	0.282
lmjm_0.4_rocchio_TFIDF	35	95	1.0	35.0	0.2817
lmjm_0.4_rocchio_TFIDF	35	95	1.0	37.5	0.2813
lmjm_0.4_rocchio_TFIDF	35	95	1.0	40.0	0.2812
lmjm_0.4_rocchio_TFIDF	35	95	1.0	42.5	0.2809
lmjm_0.4_rocchio_TFIDF	35	95	1.0	45.0	0.2806
lmjm_0.4_rocchio_TFIDF	35	95	1.0	50.0	0.2798
lmjm_0.4_rocchio_TFIDF	35	100	1.0	5.0	0.2743
lmjm_0.4_rocchio_TFIDF	35	100	1.0	10.0	0.2815
lmjm_0.4_rocchio_TFIDF	35	100	1.0	15.0	0.2811
lmjm_0.4_rocchio_TFIDF	35	100	1.0	17.5	0.2815
lmjm_0.4_rocchio_TFIDF	35	100	1.0	20.0	0.2828
lmjm_0.4_rocchio_TFIDF	35	100	1.0	22.5	0.283
lmjm_0.4_rocchio_TFIDF	35	100	1.0	25.0	0.2832
lmjm_0.4_rocchio_TFIDF	35	100	1.0	27.5	0.2829
lmjm_0.4_rocchio_TFIDF	35	100	1.0	30.0	0.2831
lmjm_0.4_rocchio_TFIDF	35	100	1.0	32.5	0.2824
lmjm_0.4_rocchio_TFIDF	35	100	1.0	35.0	0.282
lmjm_0.4_rocchio_TFIDF	35	100	1.0	37.5	0.282
lmjm_0.4_rocchio_TFIDF	35	100	1.0	40.0	0.2818
lmjm_0.4_rocchio_TFIDF	35	100	1.0	42.5	0.2813
lmjm_0.4_rocchio_TFIDF	35	100	1.0	45.0	0.2811
lmjm_0.4_rocchio_TFIDF	35	105	1.0	5.0	0.2745
lmjm_0.4_rocchio_TFIDF	35	105	1.0	7.5	0.2787
lmjm_0.4_rocchio_TFIDF	35	105	1.0	10.0	0.2817
lmjm_0.4_rocchio_TFIDF	35	105	1.0	12.5	0.2812
lmjm_0.4_rocchio_TFIDF	35	105	1.0	15.0	0.2808
lmjm_0.4_rocchio_TFIDF	35	105	1.0	17.5	0.2815
lmjm_0.4_rocchio_TFIDF	35	105	1.0	20.0	0.2825
lmjm_0.4_rocchio_TFIDF	35	105	1.0	22.5	0.2825
lmjm_0.4_rocchio_TFIDF	35	105	1.0	25.0	0.2829
lmjm_0.4_rocchio_TFIDF	35	105	1.0	27.5	0.2825
lmjm_0.4_rocchio_TFIDF	35	105	1.0	30.0	0.2824
lmjm_0.4_rocchio_TFIDF	35	105	1.0	32.5	0.282
lmjm_0.4_rocchio_TFIDF	35	105	1.0	35.0	0.282
lmjm_0.4_rocchio_TFIDF	35	105	1.0	40.0	0.2813
lmjm_0.4_rocchio_TFIDF	35	105	1.0	45.0	0.2803
lmjm_0.4_rocchio_TFIDF	35	110	1.0	5.0	0.2747
lmjm_0.4_rocchio_TFIDF	35	110	1.0	15.0	0.2809
lmjm_0.4_rocchio_TFIDF	35	110	1.0	17.5	0.2818
lmjm_0.4_rocchio_TFIDF	35	110	1.0	20.0	0.283
lmjm_0.4_rocchio_TFIDF	35	110	1.0	22.5	0.283
lmjm_0.4_rocchio_TFIDF	35	110	1.0	25.0	0.2832
lmjm_0.4_rocchio_TFIDF	35	110	1.0	27.5	0.2826
lmjm_0.4_rocchio_TFIDF	35	110	1.0	30.0	0.2826
lmjm_0.4_rocchio_TFIDF	35	110	1.0	32.5	0.2825
lmjm_0.4_rocchio_TFIDF	35	110	1.0	35.0	0.2824
lmjm_0.4_rocchio_TFIDF	35	110	1.0	37.5	0.2822
lmjm_0.4_rocchio_TFIDF	35	110	1.0	40.0	0.2817
lmjm_0.4_rocchio_TFIDF	35	110	1.0	42.5	0.2816
lmjm_0.4_rocchio_TFIDF	35	110	1.0	45.0	0.2811
lmjm_0.4_rocchio_TFIDF	35	110	1.0	50.0	0.2806
lmjm_0.4_rocchio_TFIDF	35	115	1.0	5.0	0.2735
lmjm_0.4_rocchio_TFIDF	35	115	1.0	15.0	0.2806
lmjm_0.4_rocchio_TFIDF	35	115	1.0	17.5	0.2823
lmjm_0.4_rocchio_TFIDF	35	115	1.0	20.0	0.2834
lmjm_0.4_rocchio_TFIDF	35	115	1.0	22.5	0.283
lmjm_0.4_rocchio_TFIDF	35	115	1.0	25.0	0.2828
lmjm_0.4_rocchio_TFIDF	35	115	1.0	27.5	0.2828
lmjm_0.4_rocchio_TFIDF	35	115	1.0	30.0	0.2827
lmjm_0.4_rocchio_TFIDF	35	115	1.0	32.5	0.2825
lmjm_0.4_rocchio_TFIDF	35	115	1.0	35.0	0.2824
lmjm_0.4_rocchio_TFIDF	35	115	1.0	37.5	0.2825
lmjm_0.4_rocchio_TFIDF	35	115	1.0	40.0	0.282
lmjm_0.4_rocchio_TFIDF	35	115	1.0	42.5	0.2819
lmjm_0.4_rocchio_TFIDF	35	115	1.0	45.0	0.2811
lmjm_0.4_rocchio_TFIDF	35	115	1.0	50.0	0.2804
lmjm_0.4_rocchio_TFIDF	35	120	1.0	5.0	0.2735
lmjm_0.4_rocchio_TFIDF	35	120	1.0	7.5	0.2783
lmjm_0.4_rocchio_TFIDF	35	120	1.0	10.0	0.2822
lmjm_0.4_rocchio_TFIDF	35	120	1.0	12.5	0.28
lmjm_0.4_rocchio_TFIDF	35	120	1.0	15.0	0.2814
lmjm_0.4_rocchio_TFIDF	35	120	1.0	17.5	0.2823
lmjm_0.4_rocchio_TFIDF	35	120	1.0	20.0	0.283
lmjm_0.4_rocchio_TFIDF	35	120	1.0	22.5	0.2827
lmjm_0.4_rocchio_TFIDF	35	120	1.0	25.0	0.2828
lmjm_0.4_rocchio_TFIDF	35	120	1.0	27.5	0.2824
lmjm_0.4_rocchio_TFIDF	35	120	1.0	30.0	0.2825
lmjm_0.4_rocchio_TFIDF	35	120	1.0	32.5	0.2821
lmjm_0.4_rocchio_TFIDF	35	120	1.0	35.0	0.282
lmjm_0.4_rocchio_TFIDF	35	120	1.0	40.0	0.2815
lmjm_0.4_rocchio_TFIDF	35	120	1.0	45.0	0.2806
lmjm_0.4_rocchio_TFIDF	35	125	1.0	5.0	0.2733
lmjm_0.4_rocchio_TFIDF	35	125	1.0	15.0	0.2806
lmjm_0.4_rocchio_TFIDF	35	125	1.0	17.5	0.2819
lmjm_0.4_rocchio_TFIDF	35	125	1.0	20.0	0.2823
lmjm_0.4_rocchio_TFIDF	35	125	1.0	22.5	0.282
lmjm_0.4_rocchio_TFIDF	35	125	1.0	25.0	0.2823
lmjm_0.4_rocchio_TFIDF	35	125	1.0	27.5	0.282
lmjm_0.4_rocchio_TFIDF	35	125	1.0	30.0	0.2822
lmjm_0.4_rocchio_TFIDF	35	125	1.0	32.5	0.2821
lmjm_0.4_rocchio_TFIDF	35	125	1.0	35.0	0.2822
lmjm_0.4_rocchio_TFIDF	35	125	1.0	37.5	0.2819
lmjm_0.4_rocchio_TFIDF	35	125	1.0	40.0	0.2818
lmjm_0.4_rocchio_TFIDF	35	125	1.0	42.5	0.2812
lmjm_0.4_rocchio_TFIDF	35	125	1.0	45.0	0.2808
lmjm_0.4_rocchio_TFIDF	35	125	1.0	50.0	0.2802
lmjm_0.4_rocchio_TFIDF	35	130	1.0	5.0	0.2733
lmjm_0.4_rocchio_TFIDF	35	130	1.0	7.5	0.2786
lmjm_0.4_rocchio_TFIDF	35	130	1.0	10.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	130	1.0	12.5	0.2794
lmjm_0.4_rocchio_TFIDF	35	130	1.0	15.0	0.28
lmjm_0.4_rocchio_TFIDF	35	130	1.0	17.5	0.2811
lmjm_0.4_rocchio_TFIDF	35	130	1.0	20.0	0.282
lmjm_0.4_rocchio_TFIDF	35	130	1.0	22.5	0.2818
lmjm_0.4_rocchio_TFIDF	35	130	1.0	25.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	130	1.0	27.5	0.2818
lmjm_0.4_rocchio_TFIDF	35	130	1.0	30.0	0.2819
lmjm_0.4_rocchio_TFIDF	35	130	1.0	32.5	0.2816
lmjm_0.4_rocchio_TFIDF	35	130	1.0	35.0	0.2818
lmjm_0.4_rocchio_TFIDF	35	130	1.0	37.5	0.2816
lmjm_0.4_rocchio_TFIDF	35	130	1.0	40.0	0.2811
lmjm_0.4_rocchio_TFIDF	35	130	1.0	42.5	0.2804
lmjm_0.4_rocchio_TFIDF	35	130	1.0	45.0	0.2798
lmjm_0.4_rocchio_TFIDF	35	140	1.0	5.0	0.2757
lmjm_0.4_rocchio_TFIDF	35	140	1.0	7.5	0.2797
lmjm_0.4_rocchio_TFIDF	35	140	1.0	10.0	0.2823
lmjm_0.4_rocchio_TFIDF	35	140	1.0	12.5	0.2792
lmjm_0.4_rocchio_TFIDF	35	140	1.0	15.0	0.2802
lmjm_0.4_rocchio_TFIDF	35	140	1.0	17.5	0.281
lmjm_0.4_rocchio_TFIDF	35	140	1.0	20.0	0.2817
lmjm_0.4_rocchio_TFIDF	35	140	1.0	22.5	0.2814
lmjm_0.4_rocchio_TFIDF	35	140	1.0	25.0	0.2816
lmjm_0.4_rocchio_TFIDF	35	140	1.0	27.5	0.2815
lmjm_0.4_rocchio_TFIDF	35	140	1.0	30.0	0.282
lmjm_0.4_rocchio_TFIDF	35	140	1.0	32.5	0.2818
lmjm_0.4_rocchio_TFIDF	35	140	1.0	35.0	0.2818
lmjm_0.4_rocchio_TFIDF	35	140	1.0	40.0	0.281
lmjm_0.4_rocchio_TFIDF	35	140	1.0	45.0	0.2797
lmjm_0.4_rocchio_TFIDF	35	145	1.0	5.0	0.2756
lmjm_0.4_rocchio_TFIDF	35	145	1.0	7.5	0.2797
lmjm_0.4_rocchio_TFIDF	35	145	1.0	10.0	0.2821
lmjm_0.4_rocchio_TFIDF	35	145	1.0	12.5	0.2795
